       	person 	precision    recall  f1-score   support

          11       1.00      1.00      1.00       111
          12       1.00      1.00      1.00       115
          13       1.00      1.00      1.00       114
          15       1.00      1.00      1.00       110
          16       1.00      1.00      1.00       115
          17       0.99      1.00      1.00       109
          18       1.00      0.99      1.00       111
          19       1.00      1.00      1.00       119
          20       1.00      1.00      1.00       151
          21       1.00      1.00      1.00       122
          22       1.00      1.00      1.00       129
          23       1.00      1.00      1.00       108
          24       1.00      1.00      1.00       122
          25       1.00      1.00      1.00       111
          26       1.00      1.00      1.00       126
          27       1.00      1.00      1.00       113
          28       1.00      1.00      1.00       110
          29       1.00      1.00      1.00       120
          30       1.00      1.00      1.00       110
          31       1.00      1.00      1.00       114
          32       1.00      1.00      1.00       103
          33       1.00      1.00      1.00       114
          34       1.00      1.00      1.00       128
          35       1.00      1.00      1.00       108
          36       0.99      1.00      1.00       127
          37       1.00      0.99      1.00       123
          38       1.00      1.00      1.00       120
          39       1.00      1.00      1.00       115

    accuracy                           1.00      3278
   macro avg       1.00      1.00      1.00      3278
weighted avg       1.00      1.00      1.00      3278
